ID,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Distance,Fuel,Brakes,Speed,Range,RPM,Accelerator pedal position,Engine fuel rate,Days,Trips,TripperDay,DistanceperTrip,TripsinDay,DistanceinDay,TripsinNight,DistanceinNight,TripsinWeekdays,DistanceinWeekdays,TripsinWeekends,DistanceinWeekends,Trips<15m,15m<Trips<30m,30m<Trips<1h,1h<Trips<2h,Trips>2h
10020444209,0,0,144,188,2399.2,696.69,613,31.20336545,5.995718524,809.9248038,12.19803318,8.972817125,6,73,12.16666667,32.86575342,54,1067.6,19,1331.6,46,1826.3,27,572.9,40,5,10,8,10
10020444473,0,0,105,322,1957.1,587.67,4455,32.17240936,6.704717536,765.4586885,13.61818388,9.169473804,6,47,7.833333333,41.64042553,37,1095.9,10,861.2,35,1695.8,12,261.3,17,10,8,4,8
10020444636,6,17,167,320,1721.8,641.83,3854,29.55235437,3.103327846,804.3790049,16.38237864,10.78712379,6,53,8.833333333,32.48679245,44,614,9,1107.8,31,1155,22,566.8,29,0,10,8,6
10020445034,0,0,47,678,1681.9,599.86,2689,27.00039749,2.043963384,741.1507157,16.03965456,8.891020939,6,69,11.5,24.37536232,63,1526.1,6,155.8,44,1100.4,25,581.5,41,9,7,7,5
10020445238,0,0,43,46,152.7,41.7,388,9.344804829,0.494282605,412.7183099,3.886197183,2.683822938,6,29,4.833333333,5.265517241,29,152.7,0,0,25,152.1,4,0.6,19,5,3,2,0
10020445261,57,28,234,533,1872.3,638.54,3550,32.17608456,3.614985087,850.3847328,14.73813271,10.86100998,6,50,8.333333333,37.446,41,347.4,9,1524.9,34,1053.9,16,818.4,30,4,4,7,5
10020445409,0,0,44,431,1123.3,334.04,1375,23.80373548,10.53235847,691.0439602,12.33225758,6.706824008,5,59,11.8,19.03898305,55,766.2,4,357.1,48,1014.5,11,108.8,38,7,3,6,5
10020445514,171,55,215,240,3329.7,967.04,2988,40.58270639,5.166526523,961.8316756,20.9437743,12.11338729,6,71,11.83333333,46.8971831,51,817.6,20,2512.1,50,2006.7,21,1323,25,8,15,14,9
10020445602,1,1,67,559,1561.4,402.54,3040,27.76817065,5.478826956,704.0921784,12.14510666,6.728862314,6,48,8,32.52916667,44,545,4,1016.4,17,257.4,31,1304,24,8,8,4,4
10020445606,0,0,15,88,402.4,122.52,1188,14.46261948,2.405481646,392.5365539,5.055851201,3.808473263,6,42,7,9.580952381,37,51.1,5,351.3,27,387,15,15.4,36,5,0,0,1
10020447429,9,10,269,160,1126.1,347.27,2117,27.84708302,4.573535012,806.6804279,13.69335543,8.765918337,5,49,9.8,22.98163265,41,720.1,8,406,36,838.4,13,287.7,23,7,7,9,3
10021048785,10,37,360,756,3962.4,1328.11,9243,35.00120172,4.078318042,987.6846444,16.78174753,11.06551755,6,64,10.66666667,61.9125,42,2081.3,22,1881.1,39,2750.1,25,1212.3,17,8,6,12,21
10021049637,4,14,237,384,3072.7,1206.99,4162,36.66169822,7.220832099,1028.171657,22.87039786,14.67153224,6,73,12.16666667,42.09178082,45,484.6,28,2588.1,44,1639.6,29,1433.1,43,12,4,4,10
14705559598,0,4,148,210,1683.1,281.96,1729,39.04270833,1.161516884,833.5438368,16.26256944,7.025329861,6,39,6.5,43.15641026,9,19.5,30,1663.6,23,934.2,16,748.9,21,6,2,0,10
14705561663,0,2,90,112,2454.5,429.39,844,48.35336211,1.811994837,856.734782,17.39175473,8.268157464,6,42,7,58.44047619,16,1122.6,26,1331.9,25,1318,17,1136.5,29,1,0,1,11
14705561825,0,0,3,2,40.6,10.68,26,3.058682635,0.132771471,279.8197605,0.764550898,0.923532934,2,6,3,6.766666667,5,40.6,1,0,6,40.6,0,0,1,2,1,2,0
14705562756,0,0,12,108,1763.7,279.89,844,38.01077822,1.194538174,757.3771465,10.91552795,6.346784801,6,35,5.833333333,50.39142857,18,14.3,17,1749.4,22,981.4,13,782.3,17,6,1,1,10
14705563154,0,24,58,163,5034.9,1304.66,1178,62.22392701,5.844320964,900.9630865,6.809092805,16.36242961,6,33,5.5,152.5727273,22,2742.1,11,2292.8,19,3359.3,14,1675.6,22,4,0,0,7
14705563672,8,7,46,19,2189.4,404.97,967,38.89020371,2.500997065,856.5441881,5.852786099,7.659331935,6,67,11.16666667,32.67761194,41,17.7,26,2171.7,43,1192.2,24,997.2,39,12,3,4,9
14705563673,0,0,1,5,73.4,16.03,77,3.915823367,0.530798757,379.6085557,1.19024839,1.047861086,5,14,2.8,5.242857143,12,73.3,2,0.1,9,6.2,5,67.2,10,1,0,1,2
14705563684,43,11,66,128,1076.7,239.74,2684,25.53390957,1.220374858,746.700881,12.20086436,5.250149601,5,56,11.2,19.22678571,27,339.5,29,737.2,38,844.9,18,231.8,17,12,11,14,2
14705563691,1,2,19,58,1661.3,320.59,2013,35.95669725,1.250435813,826.837156,17.47787156,7.332669725,5,42,8.4,39.5547619,13,154.4,29,1506.9,27,754.9,15,906.4,24,5,0,5,8
14705563811,0,0,7,82,1811.7,354.87,1394,22.65385761,6.120514427,811.7056896,15.09776586,6.706531129,6,51,8.5,35.52352941,24,26.3,27,1785.4,36,1075.6,15,736.1,25,7,6,4,9
14706461756,0,2,17,30,1332.4,,1620,33.60486743,3.278755173,651.4683419,17.4638702,7.266897507,6,20,3.333333333,66.62,10,454.2,10,878.2,18,1037.9,2,294.5,12,1,2,0,5
14710503627,5,38,53,84,2231.8,396.25,904,45.76061316,2.52094472,885.5377202,21.02512463,8.305250914,6,39,6.5,57.22564103,23,35.7,16,2196.1,23,1325.5,16,906.3,19,6,4,0,10
14710503662,0,1,8,25,1368.4,234.7,707,31.56542056,1.20190213,700.0126981,14.10255993,5.967594474,6,52,8.666666667,26.31538462,17,3.4,35,1365,36,757.1,16,611.3,33,5,4,1,9
14710503728,0,2,21,41,932.9,165.65,756,24.99212598,1.410875115,665.2549213,11.20367454,4.818318023,6,56,9.333333333,16.65892857,19,6.4,37,926.5,42,547.2,14,385.7,39,5,1,9,2
14710509797,6,69,212,493,5180,,882,66.96127347,10.25560059,948.0066939,17.68176327,15.86707755,5,24,4.8,215.8333333,17,434.2,7,4745.8,15,3098.4,9,2081.6,12,4,0,0,8
